,공원명,면적,주요시설,오시는길,이용시참고사항,구별,addr,lng,lat
10,여의도근린공원,229539.0,건축물 : 8동 - 관리사무실(7.9㎡) 편의점3동(각 29.7㎡) 화장실7동(각104.28㎡)팔각정(27.72㎡) 사모정(8.91㎡) 공원지구대(264㎡) 공원파출소     - 자전거 도로 : 2.4km(폭4~6m) 산책로 : 3.9km(폭 2m)     - 한강둔치 연결 지하보도 : 120m(높이 2.5m 폭 8m)     - 공원등 : 334개소     - 스프링클러 : 6.4km 155개소     - 광장 : 24735㎡(7482평)     - 자전거보관대 : 2개소(16대)     - 연못 : 3개소 4848㎡( 지당연못 3530㎡ 생태연못 730㎡ 잔디마당연못 588㎡) ,지하철  5호선 여의도역 3번 출구 국회의사당 방향으로 5분거리 5호선 여의나루역 1번 출구 국민일보 방향으로 5분거리 버스(G 지선 B 간선 R 광역 Y 순환) G 여의도공원 하차 5012 (서울지선) 전경련회관 여의도공원 여의도환승센터 하차가능 5615 (서울지선) 전경련회관 KBS 여의도환승센터 하차가능 5618 (서울지선) 전경련회관 여의나루역 하차가능 5713 (서울지선) 전경련회관 여의나루역 하차가능 6623 (서울지선) MBC 여의나루역 국회의사당 하차가능 6628 (서울지선) LG트윈타워 증권거래소 여의나루역 하차가능 6649 (서울지선) 여의도환승센터 여의도공원 전경련회관 하차가능 7611 (서울지선) 여의나루역 하차가능 7613 (서울지선) 순복음교회 국회의사당 증권거래소 MBC 하차가능 B 여의도공원 하차  160 (서울간선) 여의도환승센터 여의도공원 전경련회관 LG트윈타워 하차가능 162 (서울간선) 여의도환승센터 전경련회관 KBS 여의도역 하차가능 260 (서울간선) 여의도환승센터 전경련회관 LG트윈타워 하차가능 261 (서울간선) 여의도환승센터 여의도역 하차가능 262 (서울간선) 여의도환승센터 여의도역 여의도지하차도입구 하차가능 360 (서울간선) 여의도환승센터 여의도공원 전경련회관 LG트윈타워 하차가능 600 (서울간선) 여의도환승센터 여의도공원 전경련회관 LG트윈타워 하차가능 301 (경기좌석) 여의도환승센터 여의도역 여의도지하차도입구 하차가능 320 (경기좌석) 여의도환승센터 여의도역 여의도지하차도입구 하차가능 700 (경기좌석) 여의도환승센터 여의도공원 전경련회관 하차가능 871 (경기좌석) 여의도환승센터 여의도공원 전경련회관 하차가능 5609 (경기좌석) 여의도환승센터 하차가능 N16 (서울심야) 여의도환승센터 여의도공원 전경련회관 LG트윈타워 하차가능 R 여의도공원 하차 8600 (경기급행) 여의도환승센터 하차 8601 (경기급행) 여의도환승센터 하차 2500 (인천광역) 여의도환승센터 하차 7007-1 (경기광역) 국회의사당역 하차 M7613 (국토교통부의 광역급행버스) 여의나루역 국회의사당역 하차 M7625 (국토교통부의 광역급행버스) 여의도역 여의도공원(한강공원쪽정류소) 하차 Y 여의도공원 하차 영등포10 (구 61 순환버스) 여의도역 국회의사당역 여의나루역 하차  영등포11 (구 62 순환버스) 여의도역 MBC 한국거래소 구증권선물거래소 하차 승용차  공원내 주차장 시설은 없습니다. 대중교통을 이용하여 주시기 바랍니다. 부득이한 경우 주변 노상주차장 및 한강시민공원 주차장을 이용바랍니다. 주변노상주차장(영등포구 시설관리공단) ☎ 02-2650-1455 한강시민공원 주차장 ☎ 3436-8675,일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ,영등포구,서울특별시 영등포구 여의공원로 68 (여의도동),126.922377,37.526129
11,간데메근린공원,15179.7,,지하철 2호선 신답역 태양 아파트 뒤편으로 10분 소요 5호선 답십리역 1번출구 신답사거리 약 800m(도보 8분거리) 간데메공원에는 주차장이 없습니다. 대중교통을 이용하여 주시기 바랍니다. 버스(G 지선 B 간선 R 광역 Y 순환) 한성실업 앞 하차 G 2221 2233 2112  B 262 720 답십리3동사무소 앞 하차 R 1(적색)(동대문),일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ,동대문구,서울특별시 동대문구 서울시립대로2길 59(간데메공원),127.04886440000001,37.57324379999999
12,훈련원근린공원,16734.6,편익시설 : 관리실(29.30㎡) 화장실(33.62㎡) 벤취 34 조경시설 : 수목 소나무외 26종 22771주 잔디 9039㎡ (2734평) 파고라 1 음수대 1계류천 벽천 안개분수 ,지하철 2호선 4호선 5호선 동대문운동장역 13번 출구 을지로 방향 300M 정도 버스(G 지선 B 간선 R 광역 Y 순환) 방산시장 하차 G 1011 1013 2014 B 101 103 104 106 R 9403 9410 을지로5가 하차 B 152 500 승용차 동대문운동장 → 국립의료원 → 훈련원 공원 주차장 주변 주차장(유료 기본 30분 1500원)을 이용바랍니다.,일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ,중구,서울특별시 중구 을지로 227,127.0038188,37.5675245
13,영등포근린공원,61544.0,관리시설 : 관리사무소 공원등 안내판 조경시설 : 음악분수 파고라 연못 개울 벽천 잔디밭 운동시설 : 농구장 배드민턴장 풋살경기장 편익시설 : 주차장 공중전화 음수전 화장실 의자 휴양시설 : 야외정자,지하철 1호선 영등포역 1번출구 역사후문 (롯데백화점 뒤편)으로 나와서 소화물 센터 쪽으로(도보 4분 소요) 5호선 신길역 3번 출구(도보 3분 소요) 버스(G 지선 B 간선 R 광역 Y 순환) 영등포역 하차 G5616 5620 5627 5713 B570 영등포공원 하차 G16-4(영등포) 16-6(영등포) 5012 5614 5615 5616 5618 5625 5627 5714 6512 6513 6514 6628 6629 6630 6631 6637 6638 6639 7612 B160 162 260 261 262 360 361 503 570 600 605 R9707 9408 9412 5601 [경기 도시형버스] 11-1 [경기 직행좌석버스] 300 301 5601 [경기 좌석버스] 82 83 87 87-1 301 320 승용차 영등포 로타리에서 시흥IC 타고 신길 굴다리 지나면 바로 우측 문의 전화 2670-3774 주차장 10분당 300원 이하 월정기권(주간 10만원 야간 4만원),일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ,영등포구,서울특별시 영등포구 신길로 275,126.91066200000002,37.515423
14,보라매근린공원,424106.0,조경시설 : 잔디마당 수경시설(연못 벽천 등) 철쭉동산 무궁화동산 등 운동시설 : 조깅트랙 인조잔디축구장 테니스장 다목적운동장 베드민턴장 인공암벽등반장 게이트볼장 지압보도 헬스시설(평행봉 등 28종) 편익시설 : 주차장 매점 음수대 팔각정 화장실 벤치 유희시설 : 어린이놀이터  피크닉장 바닥분수 에어파크 교양시설 : 청소년수련관 시민안전체험관 동작구민회관 보안시설 : 시설물관리 감시용 CCTV 38대 24시간 녹화가동 중 기타시설 : 관악노인종합복지관 서울시지적장애인복지관 서울시남부장애인복지관 동작경찰서 지구대파견소 ※ 신림 경전철 공사로 인해 농구장 X-game장 인라인스케이트장은 폐쇄 ,지하철 7호선 보라매역 2번 출구 보라매공원 방향으로430미터 도보로 10분 2호선 신대방역 4번 출구 문창초등학교 방향으로 285미터 도보로 8분  버스(G 지선 B 간선 R 광역 Y 순환) 보라매공원 동문입구  * 보라매병원 하차 G 5516 6513 6514 6515 6516 B 152 153 461 504 * 롯데관악점 하차 G 5516 5522B호암 5524 5525 5535 6511 6516 B 153 보라매공원 정문입구 : 보라매공원 하차 G 5531 5536 5623 5633 B 150 505 보라매공원 정문초소입구  Y 동작05(대방역~신대방역 05:45~23:50배차간격 10분) Y 동작05-1(대방역~신대방역. 05:50~23:50. 배차간격 15분)  승용차 보라매공원 정문주차장 . 대방로 대방역 지하차도를 지나 대림동방향 보라매공원 정문으로 오셔서 유료주차장 이용  . 시흥대로에서 대방로 진입 후 보라매공원 정문으로 오셔서 유료주차장 이용 보라매공원 동문주차장 . 신대방 지하철역 지나 당곡사거리 방향으로 오시다가 보라매병원 정문 지나서 보라매공원 동문 유료주차장 이용 . 시흥대로에서 당곡사거리 방향으로 오시다가 보라매병원 정문 지나서 보라매공원 동문 유료주차장 이용  주차장 보라매주차장 주차요금안내 보라매공원 정문주차장 . 주차면수 : 86면 . 이용시간 : 09:00~ 22:00 . 이 용 료 : 소형 5분당 100원 / 대형 5분당 300원 보라매공원 동문주차장 . 주차면수 : 42면 . 이용시간 : 09:00~22:00 . 이 용 료 : 5분당 100원 ,일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ,동작구,서울특별시 동작구 여의대방로20길 33(보라매공원),126.91828899999999,37.492333
15,어린이대공원,560552.0,교양시설：41개소(야외음악당 등) 조경시설：14개소(분수대 등) 유희시설：45종(놀이동산 등)   편의시설：110개소(식당 등) 동 물 원：105종 621마리 식 물 원：373종 5977 본 ,지하철 정문 2호선 건대입구 역 버스이용 5분거리 또는 환승 : 7호선 7호선 어린이대공원역 1번 출구(도보 1분) 후문 5호선 아차산역 4번출구(도보 3분)  버스(G 지선 B 간선 R 광역 Y 순환) 정문 G 2222 3216 3220 4212 B 102 302 721 후문 G 2221 3215 B 130 320 R 9301 9403 구의문 G 2221 2225 3215 B 303 320 R 9403 승용차 은평등 서북부지역 내부순환로 → 강변북로 → 자양사거리직진 → 어린이대공원구의문 내부순환로 → 마장램프 → 천호대로 → 어린이대공원 후문 성북강북노원도봉지역 동부간선도로 → 천호대로 → 아차산역 → 어린이대공원후문 종로중구서대문등 도심지역 천호대로 → 군자사거리 → 아차산역 → 어린이대공원후문 영등포동작관악등 남서부지역 88대로 → 영동대교 → 화양고가밑우회전 → 능동사거리좌회전 → 어린이대공원정문 서초강남 등 강남지역 성수대교 건너 우회전하고 계속직진 → 능동사거리에서좌회전 → 어린이대공원정문 일산파주김포남부지역 외곽순환로 → 올림픽대로 → 천호대교 → 아차산역삼거리P턴 → 어린이대공원후문 인천방향 경인고속도로 → 88대로 → 영동대교 직진 → 성수사거리 직진 → 화양리사거리우회전 → 어린이대공원정문 분당방향 청담대로 → 청담대교 직진 → 건국대학교에서 직진 → 어린이대공원정문 주차장 주차가능 수 : 정문 153대 / 후문 252대 / 구의문 315대 운영시간 09:00~22:00 이용요금 (10분당 : 승용차 300원 중형차 600원 대형차 900원 ) * 경차 : 50% 할인 * 장애인차 : 80% 할인 * 요일제 : 30% 할인 ※ 토일요일공휴일은 주차장이 복잡하오니 대중교통을 이용해주시기 바라며 차량을 이용할경우에는 정문주차장이 가장먼저 만차가 되므로 후문과 구의문 주차장을 이용하시면 편안히 이용하실수 있습니다. (문의 : 정문주차장: 02)3436-2911 / 후문주차장: 02)3437-2901 / 구의문주차장: 02)3437-2904) ,일반사항 차량 오토바이 자전거 퀵보드 인라인 스케이트 등은 출입을 금지합니다. (사전 승인을 받은 관리차량 제외) 애완동물은 수용동물 안전 및 전염병 예방을 위해 들어갈 수 없습니다. 동물들에게 음식을 주지 마세요. 공원내 주류 및 취사 도구의 반입을 금지합니다. 공원에서는 행상 또는 노점에 의한 상행위 노숙을 할 수 없습니다. 공원시설 나무 꽃 등을 훼손하거나 열매를 채취하지 마세요. (위반시 과태료 부과) 시설 이용시 안전이 최우선! 무리한 이용 및 위험한 행동을 하지 마세요. 행사 등 시설 예약은 서울어린이대공원으로 신청하세요. 쓰레기는 반드시 지정된 장소에 버려주시기 바랍니다. ,광진구,서울특별시 광진구 능동로 216(어린이대공원),127.0809212,37.5498987
16,천호근린공원,26696.8,기반시설 : 광장 1300㎡ 조경시설 : 연못 1개소 888㎡(음악분수 108) 운동시설 : 배드민턴코트 4면 600㎡(182평) 농구대 4조 족구장 442㎡(134평) 체력단련시설 32조 체력단련시설 상세 : 허리돌리기 4 철봉 3 옆파도타기 3 공중걷기 2 오금펴기 1 레그익스텐션 1 윗몸일으키기 1 로프당기기 2 팔내리기운동 1 벤치프레스 4 체스트웨이트 1 렛풀다운 1 팩덱머신 1 노젓기운동 1 양다리운동 2 상체근육풀기 2 다리운동 1 양회전운동 1 등?허리지압기 1 온몸역도올리기 3 버터플라이 1 교양시설 : 야외무대 1개소 213㎡ 도서관 473㎡ 편의시설 : 벤치(등받이) 64 벤치 40 팔각정자 1개소 평상 17 원형테이블 2 피크닉테이블 27 음수대 2 관리시설 : 공원등 58본 감시카메라 5본 서치라이트 2조 스피커 34개 음악분수제어실 1 ,지하철 5호선 천호역 3번 출구로 나와서 암사동 방향으로 10분거리  버스(G 지선 B 간선 R 광역 Y 순환) 천호동공원 하차 G 3318 3321 3411 B 340  승용차 천호사거리에서 암사역 방향으로 600미터  주차장 주차가능 수 : 10 대 주차장 면적 : 246㎡ ,일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ,강동구,서울특별시 강동구 올림픽로 702(천호공원),127.1263451,37.5444741
17,용산가족공원,75900.0,조경시설 : 잔디광장 연못 4개소(6740㎡) 정자3 원두막2 자연학습장 맨발공원 태극기공원 운동시설 : 철봉 평행봉 역기 윗몸일으키기 등배치기 등 13점 편익시설 : 주차장(50대) 음수대 공중전화 화장실 벤치 자동판매기 교양시설 : 국제조각품 9점 기타시설 : 야외예식장 빗물펌프장 공원가로등(59본 118등),지하철 4호선 2번출구 이용 1호선 이촌역 서빙고역 이용 버스(G 지선 B 간선 R 광역 Y 순환) 용산가족공원 하차 G 0211 R 9502 승용차 서빙고로를 통하여 용산가족공원으로 오시면 입구에 승용차 50대를 주차할 수 있는 주차장이 있습니다. 승용차 전용 주차장으로 버스나 화물차 등은 주차하실 수 없습니다. 용산가족공원은 가족나들이 향우회 유치원 초.중.고등학생들의 소풍 백일장 공연 등의 행사로 많은 시민들이 이용하여 주차장이 만차되어 혼잡하오니 대중교통을 권장하여 드립니다. 주차장 주차가능 수 : 50대 5분당 150원 장애인차량 국가유공자 : 최초 1시간 무료 및 80%할인,일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ,용산구,서울특별시 용산구 서빙고로 185,126.98333500000001,37.522226
18,독립근린공원,113021.7,방문자센터(관리사무소 위치) 순국선열추념탑 서재필선생동상 독립관(순국선열 위패봉안소) 3?1독립선언기념탑 독립문 형무소 역사관 이진아기념도서관 ,지하철 3호선 독립문역에서 내려 4번 5번출구를 이용  버스(G 지선 B 간선 R 광역 Y 순환) 독립문역한성과학고 하차 G 7(서대문) 7019 7021 7023 7712(신촌방향) B 471 701 703 704 720 R 9701 9703 9705 9709 9712  승용차 : 독립공원 교차로에서 서대문구의회 및 한성과학고등학교 방향으로 진입하여              좌측 방향으로 주차장진입로 위치  주차장 주차장 개방시간 : 24시간 상시개방 주차요금 : 09시 ~ 22시 요금부과(기타시간대 무료개방)            - 대형 10분당 630원(10시~14시 10분당 900원)            - 소형 10분당 300원            - 할인적용 : 서울시 주차장 설치 및 관리조례 제6조 제1항 별표1에 의거 적용주차가능 수 : 36대(대형 33대 소형3대) 주차장 면적 : 4637㎡         * 주차장이 협소하여 혼잡하오니 대중교통을 이용하시기 바랍니다. ,서대문독립공원 개방시간 : 24시간 연중무휴 관람시 유의사항 화단과 관람지역 외의 출입을 제한합니다.(잔디휴식년제를 적용하고 있으므로 잔디출입을 삼가해주세요) 식물 씨앗 및 과실 등의 채취 및 반출을 제한합니다. 공원내에서는 취사행위를 할 수 없습니다.(가스버너등 화기를 이용한 조리행위 금지) 간단한 도시락은 가져올 수 있으나 단체배식후 잔반 및 쓰레기는 반드시 회수하여 가져가시기 바랍니다. 공원내 전 지역은 금연 구역입니다. 공원내에서는 대형 에드벌룬 무인조종항공기(드론 포함)를 설치 조작할수 없습니다. (http://www.cdc.mil.kr/popup/aoc/index.html) 비행금지 구역으로 경찰조사를 받으실 수 있으니 유의하시기 바랍니다. 애완견은 목줄착용 및 배변봉투를 지참하시기 바랍니다. 공원 주변 아파트가 인접하여 고성방가를 할 수 없습니다. (단체로 노래 및 박수를 치는 행위 종교행사 엠프 악기연주 확성기를 이용한 행위 금지) 공원내 차량/오토바이 진입을 통제하고 있습니다. 개인이 가져오신 쓰레기는 반드시 되가져 가시고 귀가 시에는 주변을 정리정돈 해주시기 바랍니다 프로그램 예약신청은 인터넷으로만 가능  유모차 휠체어 대여시 방문자센터내 공원관리사무소로 방문하시면 가능합니다. 형무소 역사관은 서대문구 도시관리공단에서 관리하고 있으며 별도로 문의하시기 바랍니다. (홈페이지 : http://sscmc.or.kr  전화번호 : 363-9750),서대문구,서울특별시 서대문구 통일로251(독립공원),126.956771,37.5738289
19,낙산근린공원,201779.0,기반시설 : 관리도로 2920m 산책로 1010m 주차장 640㎡ 교양시설 : 역사탐방로 935m 비우당 27㎡ 홍덕이밭 50㎡ 건축시설 : 5동(전시및관리실 매점및화장실 비우당 육각정자 노인정) 운동시설 : 배드민턴장 12면 농구장 1면 편익시설 : 파고라 5종 의자 117개 음수대(6) 화장실2 광 장 : 5개소(중앙광장 놀이광장 전망광장 3개소) 기타시설 : 안내판 등 29개 ,지하철 4호선 혜화역 2번 출구 마로니에 공원기업은행 방향 (도보10분)  버스(G 지선 B 간선 R 광역 Y 순환) 혜화역 (마로니에공원) 정류장 하차. 마로니에 공원 기업은행 방향 (도보10분) G 1011 1012 1018 1019 2112 B 101 102 103 104 106 107 140 143 150 160 161 100 151 301 R 9101 9410 14호선 동대문역 5번 출구→마을버스 낙산종점 하차 G 종로03 6호선 창신역 3번 출구→마을버스 낙산종점 하차 G 종로03  주차장 주차가능 수 : 29대 ,일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ,종로구,서울특별시 종로구 낙산길 41 (우) 03085,127.00758700000002,37.580477
20,양재시민의숲,258991.0,조경시설 : 잔디광장 파고라 그늘시렁 운동시설 : 배구장(족구장 겸용) 농구장 테니스장 등 편익시설 : 매점 야외 바비큐장 음수대 화장실 5개소 등 기        타 : 야외 예식장 윤봉길의사 기념관 윤봉길의사 동상 야외무대 백마부대 충혼탑                      대한항공 858편 위령탑 삼풍백화점 희생자 위령탑 등 ,지하철 2호선 강남역 6번출구 뉴욕제과방향으로 나와서 버스 이용 3호선 양재역 7번출구 성남방향으로 나와서 버스 이용 신분당선 시민의숲 공원 역(매헌역)1번5번 출구  버스(G 지선 B 간선 R 광역 Y 순환) G 4421 4422 4423 4424 5411 B 140 400 470 471 R 1550 9100 9200 9300 9400 9404 9405 9406 9408 9410 9411 9412 9503 9700 [경기 도시형버스] 11-3 11-6 901 1550 [경기 직행좌석버스] 1005-1 1005-5 1550-1 1560 3000 3000-1 3001 3003 3007 3030 5100 5100-1 9700 [경기 좌석버스] 1500-1 1500-3 5002 5500-1 5500-2 6800  승용차 승용차 이용시 매헌기념관 앞 또는 강남대로변의 시민의 숲 주차장을 유료로 이용할 수 있습니다.  매헌윤봉길기념관 주차장 주차가능 수 : 54 대 주차장 면적 : 1500㎡ 주차요금 : 매 10분마다 300원 ~ 450원 주차장 요금     1회 주차  월 정기권   매 5분당 주간 야간  150원 100000원 40000원   1일 주차요금은 10000원을 초과하지 않으며야간 주차장 무료 개방(21:00-09:00) 시민의숲 동축주차장과 관련없습니다.  ,일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ,서초구,서울특별시 서초구 매헌로 99 (양재동),127.03504199999999,37.471225
21,관악산도시자연공원,10420819.08,낙성대 연주대 삼막사 관음사 관악산호수,지하철 2호선서울대입구역 3번 출구 연계버스 5511 5528 501 651 6511(만남의광장 출발) 24호선사당역 45번 출구(관음사 출발)  버스(G 지선 B 간선 R 광역 Y 순환) 연계버스 G 142 95 300 142  접근방법 제1등산로 : 사당역 4번출구에서 관음사까지 도보 제2~6등산로 : 서울대입구역 2번출구에서 서울대방향 버스 승차 후 서울대정문 버스정류장 하차 제7~8등산로 : 삼성산성지 정류장 하차(65145517버스)  주차장 주차가능 수 : 153 대 10분당 300원 1시간 1800원(09:00?18:00는 유료 18:00 이후 이용시간 관계없이 1000원 연중무휴) ,공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다.     코스설명   구 분   거 리   소요시간   경 로    제1등산로   4.5km   140분   관음사▶돼지바위▶연주대    제2등산로   3.8km   120분   제1광장▶아카시아동산▶제4야영장▶연주샘  ▶깔딱고개▶연주대    제3등산로   0.9km   15분   제4야영장▶삼거리▶무너미고개    제4등산로   1.9km   65분   제2광장▶철쭉동산▶삼막정▶삼거리▶깔딱고개    제5등산로   0.8km   25분   철쭉동산▶제2깔딱고개▶제4야영장    제6등산로   2.8km   70분   경로구역▶돌산▶용암천▶국기봉▶제1야영장    제7등산로   1.5km   55분   활터▶제3야영장▶제2야영장▶제1야영장    제8등산로   1.4km   50분   삼성산▶성지▶삼호약수▶송암약수▶제1야영장    제9등산로   1.2km   40분   삼거리약수터▶거북바위▶삼막사정상    ,관악구,서울특별시 관악구 관악로 1(관악산공원),126.96413000000001,37.445208
22,효창근린공원,171294.1,관리시설 : 관리사무소 공원등 안내판 편의시설 : 매점 공중전화 화장실 음수대 야외탁자 의자 시계탑 조경시설 : 자연학습장 연못 데크로드 운동시설 : 농구장 배드민턴장 게이트볼장 체력단련시설 유희시설 : 어린이놀이터 휴양시설 : 정자 파고라 교양(사적)시설 : 의열사 백범김구선생 묘역 삼의사묘역 임정요인묘역 백범기념관 이봉창의사 동상 반공투사 위령탑 원효대사상,지하철 6호선 효창공원역 하차 1 2번 출구(도보 10분 소요) 4호선 숙대입구역 하차 8 9번 출구(도보 20분 소요)  버스(G 지선 B 간선 R 광역 Y 순환) 효창공원 후문/ 숙대 후문 하차 G 0015 0016 마포17 효창운동장 입구 하차 G 0015 0016 마포17  승용차 공덕동로터리에서 삼각지 방향 효창공원역 사거리에서 좌회전→숙대방향으로 300m 직진 좌측에 위치 원효로 용산구청앞 사거리에서 좌회전(우회전) 공덕동로터리 방향→효창공원역 사거리에서 우회전 숙대방향으로 300m 직진 좌측에 위치  주차장 공원주차장이 없으니 효창운동장 주차장을 이용바랍니다. 이용시간 : 24시간개방 이용요금 : 10분당 300원 ,일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ,용산구,서울특별시 용산구 효창원로 177-18,126.95993,37.545234
23,감로천생태공원(관악산),15000.0,연못 3개소 목재 데크 황토길 지압로 공원등(12),버스(G 지선 B 간선 R 광역 Y 순환) 독산4동 주민센터 앞에서 하차 → 정심초등학교 방면 10분 G 5620 5619 독산정훈단지 앞에서 하차 → 정심초등학교 방면 15분 B 505 마을버스 → 8번(금천문화체육센터 정문앞 하차)  문의전화 금천구청 공원녹지과 ☏2627-1653  주차장 주차가능 수 : 15대 주차장 면적 : 약 400㎡ ,일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ,금천구,서울특별시 금천구 독산4동 371?375 373일대,126.9079509,37.469625
24,개운산근린공원,297926.0,공원이용지원센터 화장실 산책로(산마루길 목재데크산책로 오솔길 등) 자연학습장 지압보도 축구장 배드민턴장 족구장 정자 등,지하철 4호선 성신여대역(6번출구) 6호선 고려대역(2번출구)  버스(G 지선 B 간선 R 광역 Y 순환) G 성북20번 개운중학교 하차 B 103108109152 미아리고개 하차 ,일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다. ,성북구,서울특별시 성북구 북악산로 949-73(돈암동 6-1),127.0252858,37.596583700000004
25,개웅산근린공원,411972.0,배드민턴장 철봉 허리돌리기 역기 등 운동기구,지하철 1호선 개봉역 하차 후 마을버스 구로03 ,일반사항 공원을 깨끗하게 이용합니다. 대중교통을 이용해 주세요. 기념물 시설물 풀과 나무를 보호합니다. 야생동물보호를 위해 음식물 반입을 금지합니다. 야영 취사행위 및 불을 피우지 않습니다. 애완동물은 생태계 보전과 대중의 이용에 불편함이 없도록 출입을 자제하여 주시기 바랍니다. 음주/가무/소란행위를 하지 않습니다. 쓰레기는 되가져 가시기 바랍니다 ,구로구,서울특별시 구로구 오류동 산13-1,126.84857340000002,37.4888943
